JoinField,PresDem,PresRep,PresTot,tot_vote_2018_weighted,,board,portion,
CITY OF CHICAGO:Ward 03 Precinct 20,838,64,918,564.6366208,CITY OF CHICAGO:WARD 03 PRECINCT 20,CITY OF CHICAGO,0.673790717,565
CITY OF CHICAGO:Ward 08 Precinct 04,777,45,837,563.4185464,CITY OF CHICAGO:WARD 08 PRECINCT 04,CITY OF CHICAGO,0.725120394,563
CITY OF CHICAGO:Ward 21 Precinct 16,822,60,897,561.3448895,CITY OF CHICAGO:WARD 21 PRECINCT 16,CITY OF CHICAGO,0.682901325,561
CITY OF CHICAGO:Ward 48 Precinct 01,1062,63,1151,559.5224376,CITY OF CHICAGO:WARD 48 PRECINCT 01,CITY OF CHICAGO,0.526857286,560
CITY OF CHICAGO:Ward 05 Precinct 03,927,51,999,558.2000695,CITY OF CHICAGO:WARD 05 PRECINCT 03,CITY OF CHICAGO,0.602157572,558
CITY OF CHICAGO:Ward 29 Precinct 21,577,99,691,558.158712,CITY OF CHICAGO:WARD 29 PRECINCT 21,CITY OF CHICAGO,0.967346121,558
CITY OF CHICAGO:Ward 29 Precinct 08,1024,204,1244,554.9375005,CITY OF CHICAGO:WARD 29 PRECINCT 08,CITY OF CHICAGO,0.541931153,555
CITY OF CHICAGO:Ward 48 Precinct 06,878,99,999,552.1199586,CITY OF CHICAGO:WARD 48 PRECINCT 06,CITY OF CHICAGO,0.628838222,552
CITY OF CHICAGO:Ward 45 Precinct 01,740,613,1388,551.9034754,CITY OF CHICAGO:WARD 45 PRECINCT 01,CITY OF CHICAGO,0.745815507,552
CITY OF CHICAGO:Ward 49 Precinct 01,990,102,1116,550.5103164,CITY OF CHICAGO:WARD 49 PRECINCT 01,CITY OF CHICAGO,0.556071027,551
CITY OF CHICAGO:Ward 40 Precinct 10,1331,133,1492,549.1894218,CITY OF CHICAGO:WARD 40 PRECINCT 10,CITY OF CHICAGO,0.412614141,549
CITY OF CHICAGO:Ward 46 Precinct 18,1173,95,1304,548.4039902,CITY OF CHICAGO:WARD 46 PRECINCT 18,CITY OF CHICAGO,0.467522583,548
CITY OF CHICAGO:Ward 21 Precinct 04,759,56,827,547.9238525,CITY OF CHICAGO:WARD 21 PRECINCT 04,CITY OF CHICAGO,0.721902309,548
CITY OF CHICAGO:Ward 09 Precinct 16,868,69,950,547.4820874,CITY OF CHICAGO:WARD 09 PRECINCT 16,CITY OF CHICAGO,0.630739732,547
CITY OF CHICAGO:Ward 44 Precinct 16,1329,203,1564,547.2023075,CITY OF CHICAGO:WARD 44 PRECINCT 16,CITY OF CHICAGO,0.411739885,547
CITY OF CHICAGO:Ward 47 Precinct 14,916,169,1103,547.1756126,CITY OF CHICAGO:WARD 47 PRECINCT 14,CITY OF CHICAGO,0.597353289,547
CITY OF CHICAGO:Ward 47 Precinct 10,1148,102,1282,541.9846511,CITY OF CHICAGO:WARD 47 PRECINCT 10,CITY OF CHICAGO,0.472112065,542
CITY OF CHICAGO:Ward 04 Precinct 03,738,31,781,539.5825124,CITY OF CHICAGO:WARD 04 PRECINCT 03,CITY OF CHICAGO,0.731141616,540
CITY OF CHICAGO:Ward 19 Precinct 27,861,106,991,539.4395772,CITY OF CHICAGO:WARD 19 PRECINCT 27,CITY OF CHICAGO,0.626526803,539
CITY OF CHICAGO:Ward 28 Precinct 25,768,76,859,538.4071514,CITY OF CHICAGO:WARD 28 PRECINCT 25,CITY OF CHICAGO,0.701050978,538
COOK:9000001,2006,128,2158,1045.006066,COOK:9000001,COOK,,1045
CITY OF CHICAGO:Ward 18 Precinct 12,824,76,913,536.4725624,CITY OF CHICAGO:WARD 18 PRECINCT 12,CITY OF CHICAGO,0.651058935,536
CITY OF CHICAGO:Ward 09 Precinct 07,758,56,821,533.0352286,CITY OF CHICAGO:WARD 09 PRECINCT 07,CITY OF CHICAGO,0.703212703,533
CITY OF CHICAGO:Ward 49 Precinct 02,885,116,1039,532.4555394,CITY OF CHICAGO:WARD 49 PRECINCT 02,CITY OF CHICAGO,0.601644677,532
CITY OF CHICAGO:Ward 21 Precinct 01,841,64,917,532.2365309,CITY OF CHICAGO:WARD 21 PRECINCT 01,CITY OF CHICAGO,0.632861511,532
CITY OF CHICAGO:Ward 19 Precinct 10,583,157,755,531.2824063,CITY OF CHICAGO:WARD 19 PRECINCT 10,CITY OF CHICAGO,0.911290577,531
CITY OF CHICAGO:Ward 44 Precinct 09,1387,290,1709,531.1386774,CITY OF CHICAGO:WARD 44 PRECINCT 09,CITY OF CHICAGO,0.382940647,531
CITY OF CHICAGO:Ward 46 Precinct 17,1261,98,1389,530.9377403,CITY OF CHICAGO:WARD 46 PRECINCT 17,CITY OF CHICAGO,0.421044996,531
CITY OF CHICAGO:Ward 08 Precinct 14,759,59,838,530.1029459,CITY OF CHICAGO:WARD 08 PRECINCT 14,CITY OF CHICAGO,0.698422854,530
CITY OF CHICAGO:Ward 04 Precinct 08,545,24,578,528.3438228,CITY OF CHICAGO:WARD 04 PRECINCT 08,CITY OF CHICAGO,0.969438207,528
CITY OF CHICAGO:Ward 06 Precinct 19,619,50,677,528.1734946,CITY OF CHICAGO:WARD 06 PRECINCT 19,CITY OF CHICAGO,0.853268973,528
CITY OF CHICAGO:Ward 18 Precinct 09,787,82,885,526.6565712,CITY OF CHICAGO:WARD 18 PRECINCT 09,CITY OF CHICAGO,0.669195135,527
CITY OF CHICAGO:Ward 48 Precinct 12,895,171,1092,525.892666,CITY OF CHICAGO:WARD 48 PRECINCT 12,CITY OF CHICAGO,0.587589571,526
CITY OF CHICAGO:Ward 40 Precinct 18,923,130,1091,524.6207973,CITY OF CHICAGO:WARD 40 PRECINCT 18,CITY OF CHICAGO,0.568386563,525
CITY OF CHICAGO:Ward 47 Precinct 28,793,157,971,523.8537148,CITY OF CHICAGO:WARD 47 PRECINCT 28,CITY OF CHICAGO,0.66059737,524
CITY OF CHICAGO:Ward 19 Precinct 19,655,157,830,523.4629201,CITY OF CHICAGO:WARD 19 PRECINCT 19,CITY OF CHICAGO,0.799180031,523
CITY OF CHICAGO:Ward 21 Precinct 29,818,54,885,523.1239631,CITY OF CHICAGO:WARD 21 PRECINCT 29,CITY OF CHICAGO,0.639515847,523
CITY OF CHICAGO:Ward 39 Precinct 14,615,515,1158,520,CITY OF CHICAGO:WARD 39 PRECINCT 14,CITY OF CHICAGO,0.845528455,520
CITY OF CHICAGO:Ward 48 Precinct 10,984,46,1049,519.1501338,CITY OF CHICAGO:WARD 48 PRECINCT 10,CITY OF CHICAGO,0.527591599,519
CITY OF CHICAGO:Ward 33 Precinct 06,1020,195,1250,518.6315706,CITY OF CHICAGO:WARD 33 PRECINCT 06,CITY OF CHICAGO,0.508462324,519
CITY OF CHICAGO:Ward 01 Precinct 01,1009,101,1152,516.3025078,CITY OF CHICAGO:WARD 01 PRECINCT 01,CITY OF CHICAGO,0.511697233,516
CITY OF CHICAGO:Ward 20 Precinct 22,786,78,878,514.9293088,CITY OF CHICAGO:WARD 20 PRECINCT 22,CITY OF CHICAGO,0.655126347,515
CITY OF CHICAGO:Ward 46 Precinct 03,1080,134,1236,514.9012768,CITY OF CHICAGO:WARD 46 PRECINCT 03,CITY OF CHICAGO,0.476760442,515
CITY OF CHICAGO:Ward 19 Precinct 09,643,45,702,514.4403243,CITY OF CHICAGO:WARD 19 PRECINCT 09,CITY OF CHICAGO,0.800062713,514
CITY OF CHICAGO:Ward 43 Precinct 02,1125,348,1489,513.957474,CITY OF CHICAGO:WARD 43 PRECINCT 02,CITY OF CHICAGO,0.456851088,514
CITY OF CHICAGO:Ward 48 Precinct 30,755,53,830,513.3363204,CITY OF CHICAGO:WARD 48 PRECINCT 30,CITY OF CHICAGO,0.679915656,513
CITY OF CHICAGO:Ward 09 Precinct 21,683,58,752,513.1962822,CITY OF CHICAGO:WARD 09 PRECINCT 21,CITY OF CHICAGO,0.751385479,513
CITY OF CHICAGO:Ward 17 Precinct 29,735,60,806,512.9384374,CITY OF CHICAGO:WARD 17 PRECINCT 29,CITY OF CHICAGO,0.697875425,513
CITY OF CHICAGO:Ward 43 Precinct 15,1133,224,1382,510.1571802,CITY OF CHICAGO:WARD 43 PRECINCT 15,CITY OF CHICAGO,0.450271121,510
CITY OF CHICAGO:Ward 05 Precinct 16,831,60,918,509.0000324,CITY OF CHICAGO:WARD 05 PRECINCT 16,CITY OF CHICAGO,0.612515081,509
CITY OF CHICAGO:Ward 21 Precinct 24,680,51,737,508.167594,CITY OF CHICAGO:WARD 21 PRECINCT 24,CITY OF CHICAGO,0.747305285,508
CITY OF CHICAGO:Ward 48 Precinct 25,903,57,982,507.9999659,CITY OF CHICAGO:WARD 48 PRECINCT 25,CITY OF CHICAGO,0.562569176,508
CITY OF CHICAGO:Ward 45 Precinct 27,755,186,960,507.8242646,CITY OF CHICAGO:WARD 45 PRECINCT 27,CITY OF CHICAGO,0.67261492,508
CITY OF CHICAGO:Ward 50 Precinct 07,899,148,1069,507.4407834,CITY OF CHICAGO:WARD 50 PRECINCT 07,CITY OF CHICAGO,0.56445026,507
CITY OF CHICAGO:Ward 32 Precinct 21,1155,160,1335,506.8516055,CITY OF CHICAGO:WARD 32 PRECINCT 21,CITY OF CHICAGO,0.438832559,507
CITY OF CHICAGO:Ward 02 Precinct 09,968,296,1288,506.366027,CITY OF CHICAGO:WARD 02 PRECINCT 09,CITY OF CHICAGO,0.5231054,506
