2024_ID,Status,Transitions,new_id
CITY OF CHICAGO:Ward 47 Precinct 01,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 62.88}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 47 Precinct 01,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 19', 'pct': 14.1}",CITY OF CHICAGO:Ward 40 Precinct 19
CITY OF CHICAGO:Ward 47 Precinct 01,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 19', 'pct': 9.27}",CITY OF CHICAGO:Ward 40 Precinct 19
CITY OF CHICAGO:Ward 47 Precinct 01,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 8.84}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 47 Precinct 01,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 4.82}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 47 Precinct 02,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 02', 'pct': 99.92}",CITY OF CHICAGO:Ward 47 Precinct 02
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 02', 'pct': 35.64}",CITY OF CHICAGO:Ward 47 Precinct 02
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 16.7}",CITY OF CHICAGO:Ward 40 Precinct 21
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 14.98}",CITY OF CHICAGO:Ward 40 Precinct 21
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 13.45}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 8.74}",CITY OF CHICAGO:Ward 40 Precinct 21
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 11', 'pct': 5.84}",CITY OF CHICAGO:Ward 47 Precinct 11
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 04', 'pct': 4.65}",CITY OF CHICAGO:Ward 47 Precinct 04
CITY OF CHICAGO:Ward 47 Precinct 04,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 04', 'pct': 99.95}",CITY OF CHICAGO:Ward 47 Precinct 04
CITY OF CHICAGO:Ward 47 Precinct 05,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 05', 'pct': 99.93}",CITY OF CHICAGO:Ward 47 Precinct 05
CITY OF CHICAGO:Ward 47 Precinct 06,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 06', 'pct': 99.91}",CITY OF CHICAGO:Ward 47 Precinct 06
CITY OF CHICAGO:Ward 47 Precinct 11,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 11', 'pct': 85.12}",CITY OF CHICAGO:Ward 47 Precinct 11
CITY OF CHICAGO:Ward 47 Precinct 11,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 04', 'pct': 14.88}",CITY OF CHICAGO:Ward 47 Precinct 04
CITY OF CHICAGO:Ward 47 Precinct 20,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 100.0}",CITY OF CHICAGO:Ward 46 Precinct 10
CITY OF CHICAGO:Ward 48 Precinct 01,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 01', 'pct': 99.89}",CITY OF CHICAGO:Ward 48 Precinct 01
CITY OF CHICAGO:Ward 48 Precinct 02,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 02', 'pct': 99.56}",CITY OF CHICAGO:Ward 48 Precinct 02
CITY OF CHICAGO:Ward 48 Precinct 03,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 03', 'pct': 99.87}",CITY OF CHICAGO:Ward 48 Precinct 03
CITY OF CHICAGO:Ward 48 Precinct 04,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 04', 'pct': 99.77}",CITY OF CHICAGO:Ward 48 Precinct 04
CITY OF CHICAGO:Ward 48 Precinct 05,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 05', 'pct': 99.86}",CITY OF CHICAGO:Ward 48 Precinct 05
CITY OF CHICAGO:Ward 48 Precinct 06,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 06', 'pct': 99.91}",CITY OF CHICAGO:Ward 48 Precinct 06
CITY OF CHICAGO:Ward 48 Precinct 07,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 07', 'pct': 99.88}",CITY OF CHICAGO:Ward 48 Precinct 07
